file,bench,M,N,K,iters,batch,compute_only,kernel_mean_ms,kernel_p50_ms,kernel_p99_ms,mean_TFLOPs,p50_TFLOPs,p99_TFLOPs,status
2026-01-29_alloc_bench_ops128_max1024.txt,alloc_bench,,,,,,,,,,,,,
2026-01-29_alloc_bench_ops64_max256.txt,alloc_bench,,,,,,,,,,,,,
2026-01-29_dispatch_bench_n500000.txt,dispatch_bench,,,,,,,,,,,,,
2026-01-29_stream_bench_n500000.txt,stream_bench,,,,,,,,,,,,,
2026-01-29_telemetry_bench_iters2000000.txt,telemetry_bench,,,,,,,,,,,,,
2026-01-29_vk_smoke_bench.txt,vk_smoke_bench,,,,,,,,,,,,,
2026-01-31_llm_primitives_bench_smoke.txt,llm_primitives_bench,,,,,,,,,,,,,OK
2026-01-31_vk_gemm_bench_compute_only.txt,vk_gemm_bench,512,512,512,5,,,,,,0.145,,,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench_perf.txt,vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench,1024,1024,1024,10,50,,276.808,288.274,297.398,0.388,0.372,0.361,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench_smoke.txt,vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench,128,128,128,3,5,,0.076,0.082,0.082,0.275,0.257,0.257,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench_standard.txt,vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench,1024,1024,1024,10,20,,106.035,101.795,124.528,0.405,0.422,0.345,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench_verify.txt,vk_gemm_f16acc32_tiled_vec2_32x8_ts_bench,64,64,64,2,2,,0.006,0.006,0.006,0.186,0.183,0.183,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_db_ts_bench_perf.txt,vk_gemm_f16acc32_tiled_vec2_db_ts_bench,1024,1024,1024,10,50,,275.784,275.684,278.547,0.389,0.389,0.385,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_db_ts_bench_smoke.txt,vk_gemm_f16acc32_tiled_vec2_db_ts_bench,128,128,128,3,5,,0.084,0.084,0.084,0.25,0.25,0.248,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_db_ts_bench_standard.txt,vk_gemm_f16acc32_tiled_vec2_db_ts_bench,1024,1024,1024,10,20,,110.544,110.232,113.48,0.389,0.39,0.378,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_db_ts_bench_verify.txt,vk_gemm_f16acc32_tiled_vec2_db_ts_bench,64,64,64,2,2,,0.006,0.007,0.007,0.173,0.159,0.159,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_ts_bench_perf.txt,vk_gemm_f16acc32_tiled_vec2_ts_bench,1024,1024,1024,10,50,,283.138,283.157,292.089,0.379,0.379,0.368,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_ts_bench_smoke.txt,vk_gemm_f16acc32_tiled_vec2_ts_bench,128,128,128,3,5,,0.085,0.085,0.085,0.248,0.248,0.248,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_ts_bench_standard.txt,vk_gemm_f16acc32_tiled_vec2_ts_bench,1024,1024,1024,10,20,,114.621,114.28,119.608,0.375,0.376,0.359,OK
2026-01-31_vk_gemm_f16acc32_tiled_vec2_ts_bench_verify.txt,vk_gemm_f16acc32_tiled_vec2_ts_bench,64,64,64,2,2,,0.005,0.005,0.005,0.203,0.203,0.203,OK
2026-01-31_vk_gemm_tiled_bench_compute_only.txt,vk_gemm_tiled_bench,512,512,512,3,,1,,,,0.145,,,OK
2026-01-31_vk_gemm_tiled_ts_bench_compute_only.txt,vk_gemm_tiled_ts_bench,512,512,512,3,8,1,9.355,8.304,12.085,0.239,0.259,0.28,OK
2026-01-31_vk_gemm_tiled_ts_bench_perf.txt,vk_gemm_tiled_ts_bench,1024,1024,1024,10,50,0,385.597,384.584,393.631,0.278,0.279,0.28,OK
2026-01-31_vk_gemm_tiled_ts_bench_smoke.txt,vk_gemm_tiled_ts_bench,128,128,128,3,5,0,0.117,0.117,0.117,0.179,0.179,0.179,OK
2026-01-31_vk_gemm_tiled_ts_bench_standard.txt,vk_gemm_tiled_ts_bench,1024,1024,1024,10,20,0,154.091,153.693,159.009,0.279,0.279,0.282,OK
2026-01-31_vk_gemm_tiled_ts_bench_verify.txt,vk_gemm_tiled_ts_bench,64,64,64,2,2,0,0.006,0.006,0.006,0.162,0.162,0.162,OK
2026-01-31_vk_layernorm_bench_perf.txt,vk_layernorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_bench_smoke.txt,vk_layernorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_bench_standard.txt,vk_layernorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_bench_verify.txt,vk_layernorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_bench_perf.txt,vk_layernorm_rmsnorm_fused_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_bench_smoke.txt,vk_layernorm_rmsnorm_fused_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_bench_standard.txt,vk_layernorm_rmsnorm_fused_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_bench_verify.txt,vk_layernorm_rmsnorm_fused_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_tiled_bench_perf.txt,vk_layernorm_rmsnorm_fused_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_tiled_bench_smoke.txt,vk_layernorm_rmsnorm_fused_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_tiled_bench_standard.txt,vk_layernorm_rmsnorm_fused_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_rmsnorm_fused_tiled_bench_verify.txt,vk_layernorm_rmsnorm_fused_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_tiled_bench_perf.txt,vk_layernorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_tiled_bench_smoke.txt,vk_layernorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_tiled_bench_standard.txt,vk_layernorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_tiled_bench_verify.txt,vk_layernorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_perf.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_smoke.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_standard.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_verify.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_perf.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_smoke.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_standard.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_verify.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_perf.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_smoke.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_standard.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_verify.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_perf.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_smoke.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_standard.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_verify.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
